weasels,pos_tag,lemmas
most,ADJ,most
many,ADJ,many
various,DET,various
some,PRON,some
several,PRON,several
few,PRON,few
often,ADV,often
probably,ADV,probably
huge,ADJ,huge
small,ADV,small
fairly,ADV,fairly
quite,ADV,quite
mostly,ADV,mostly
largely,ADV,largely
vast,ADJ,vast
relatively,ADV,relatively
completely,ADV,completely
literally,ADV,literally
expert,ADJ,expert
expert,NOUN,expert
linked,VERB,linked
supports,NOUN,support
better,ADJ,better
effective,ADJ,effective
efficient,ADJ,efficient
seems,VERB,seems
appears,VERB,appears
looks,VERB,look
like,ADV,like
lot,PRON,lot
almost,ADV,almost
could,VERB,could
felt,VERB,felt
heard,VERB,heard
saw,VERB,saw
knew,VERB,knew
realized,VERB,realized
realised,VERB,realised
thought,VERB,thought
noticed,VERB,noticed
decided,VERB,decided
looked,VERB,looked
considered,VERB,considered
believed,VERB,believed
wished,VERB,wished
supposed,VERB,supposed
about,ADV,about
just,ADV,just
all,DET,all
so,ADV,so
only,ADV,only
even,ADV,even
somehow,ADV,somehow
sort,NOUN,sort
pretty,ADV,pretty
well,ADV,well
ever,ADV,ever
still,VERB,still
bit,NOUN,bit
far,ADJ,far
enough,DET,enough
might,VERB,might
